hospital_id,hospital_name,city,hospital_type
126,Hospital_126,Hyderabad,Public
127,Hospital_127,Delhi,Private
128,Hospital_128,Bangalore,Private
129,Hospital_129,Hyderabad,Public
130,Hospital_130,Hyderabad,Private
131,Hospital_131,Pune,Private
132,Hospital_132,Hyderabad,Private
133,Hospital_133,Hyderabad,Public
134,Hospital_134,Mumbai,Public
135,Hospital_135,Chennai,Public
136,Hospital_136,Kolkata,Private
137,Hospital_137,Ahmedabad,Private
138,Hospital_138,Chennai,Private
139,Hospital_139,Chennai,Public
140,Hospital_140,Bangalore,Private
141,Hospital_141,Pune,Public
142,Hospital_142,Mumbai,Private
143,Hospital_143,Pune,Public
144,Hospital_144,Ahmedabad,Private
145,Hospital_145,Chennai,Private
146,Hospital_146,Mumbai,Private
147,Hospital_147,Chennai,Private
148,Hospital_148,Delhi,Public
149,Hospital_149,Chennai,Public
150,Hospital_150,Pune,Public
151,Hospital_151,Delhi,Public
152,Hospital_152,Mumbai,Public
153,Hospital_153,Hyderabad,Private
154,Hospital_154,Mumbai,Private
155,Hospital_155,Hyderabad,Public
156,Hospital_156,Kolkata,Public
157,Hospital_157,Kolkata,Public
158,Hospital_158,Kolkata,Private
159,Hospital_159,Pune,Public
160,Hospital_160,Delhi,Public
161,Hospital_161,Bangalore,Private
162,Hospital_162,Pune,Private
163,Hospital_163,Chennai,Private
164,Hospital_164,Ahmedabad,Private
165,Hospital_165,Mumbai,Public
166,Hospital_166,Ahmedabad,Private
167,Hospital_167,Hyderabad,Public
168,Hospital_168,Kolkata,Private
169,Hospital_169,Bangalore,Private
170,Hospital_170,Pune,Private
171,Hospital_171,Kolkata,Private
172,Hospital_172,Pune,Private
173,Hospital_173,Ahmedabad,Private
174,Hospital_174,Bangalore,Public
175,Hospital_175,Hyderabad,Private
176,Hospital_176,Bangalore,Public
177,Hospital_177,Hyderabad,Public
178,Hospital_178,Bangalore,Private
179,Hospital_179,Mumbai,Public
180,Hospital_180,Mumbai,Private
181,Hospital_181,Mumbai,Public
182,Hospital_182,Hyderabad,Public
183,Hospital_183,Chennai,Private
184,Hospital_184,Hyderabad,Private
185,Hospital_185,Kolkata,Private
186,Hospital_186,Bangalore,Public
187,Hospital_187,Chennai,Private
188,Hospital_188,Bangalore,Private
189,Hospital_189,Chennai,Public
190,Hospital_190,Bangalore,Public
191,Hospital_191,Pune,Private
192,Hospital_192,Chennai,Private
193,Hospital_193,Chennai,Public
194,Hospital_194,Delhi,Private
195,Hospital_195,Kolkata,Private
196,Hospital_196,Mumbai,Private
197,Hospital_197,Pune,Public
198,Hospital_198,Bangalore,Private
199,Hospital_199,Bangalore,Public
200,Hospital_200,Mumbai,Private
201,Hospital_201,Bangalore,Private
202,Hospital_202,Ahmedabad,Public
203,Hospital_203,Ahmedabad,Private
204,Hospital_204,Delhi,Public
205,Hospital_205,Hyderabad,Public
206,Hospital_206,Bangalore,Public
207,Hospital_207,Hyderabad,Private
208,Hospital_208,Bangalore,Private
209,Hospital_209,Bangalore,Public
210,Hospital_210,Kolkata,Private
211,Hospital_211,Delhi,Private
212,Hospital_212,Pune,Public
213,Hospital_213,Hyderabad,Public
214,Hospital_214,Mumbai,Private
215,Hospital_215,Pune,Private
216,Hospital_216,Delhi,Public
217,Hospital_217,Pune,Private
218,Hospital_218,Mumbai,Public
219,Hospital_219,Bangalore,Public
220,Hospital_220,Ahmedabad,Private
221,Hospital_221,Delhi,Private
222,Hospital_222,Bangalore,Private
223,Hospital_223,Chennai,Private
224,Hospital_224,Pune,Private
225,Hospital_225,Hyderabad,Private
226,Hospital_226,Bangalore,Private
227,Hospital_227,Chennai,Public
228,Hospital_228,Bangalore,Private
229,Hospital_229,Pune,Private
230,Hospital_230,Mumbai,Public
231,Hospital_231,Kolkata,Public
232,Hospital_232,Hyderabad,Private
233,Hospital_233,Bangalore,Private
234,Hospital_234,Chennai,Public
235,Hospital_235,Mumbai,Private
236,Hospital_236,Chennai,Private
237,Hospital_237,Ahmedabad,Private
238,Hospital_238,Mumbai,Private
239,Hospital_239,Chennai,Private
240,Hospital_240,Chennai,Private
241,Hospital_241,Delhi,Public
242,Hospital_242,Mumbai,Public
243,Hospital_243,Hyderabad,Public
244,Hospital_244,Ahmedabad,Private
245,Hospital_245,Bangalore,Private
246,Hospital_246,Mumbai,Private
247,Hospital_247,Mumbai,Private
248,Hospital_248,Kolkata,Private
249,Hospital_249,Mumbai,Private
250,Hospital_250,Hyderabad,Private
251,Hospital_251,Kolkata,Private
252,Hospital_252,Delhi,Private
253,Hospital_253,Ahmedabad,Private
254,Hospital_254,Bangalore,Private
255,Hospital_255,Ahmedabad,Private
256,Hospital_256,Hyderabad,Public
257,Hospital_257,Delhi,Public
258,Hospital_258,Ahmedabad,Private
259,Hospital_259,Ahmedabad,Public
260,Hospital_260,Mumbai,Private
261,Hospital_261,Bangalore,Public
262,Hospital_262,Hyderabad,Public
263,Hospital_263,Mumbai,Private
264,Hospital_264,Kolkata,Private
265,Hospital_265,Chennai,Public
266,Hospital_266,Pune,Private
267,Hospital_267,Pune,Private
268,Hospital_268,Hyderabad,Public
269,Hospital_269,Mumbai,Private
270,Hospital_270,Ahmedabad,Private
271,Hospital_271,Hyderabad,Private
272,Hospital_272,Hyderabad,Private
273,Hospital_273,Mumbai,Private
274,Hospital_274,Kolkata,Public
275,Hospital_275,Delhi,Private
276,Hospital_276,Hyderabad,Public
277,Hospital_277,Kolkata,Public
278,Hospital_278,Chennai,Private
279,Hospital_279,Mumbai,Public
280,Hospital_280,Delhi,Private
281,Hospital_281,Bangalore,Public
282,Hospital_282,Ahmedabad,Private
283,Hospital_283,Chennai,Private
284,Hospital_284,Pune,Private
285,Hospital_285,Pune,Private
286,Hospital_286,Mumbai,Private
287,Hospital_287,Ahmedabad,Public
288,Hospital_288,Delhi,Public
289,Hospital_289,Bangalore,Public
290,Hospital_290,Kolkata,Private
291,Hospital_291,Ahmedabad,Private
292,Hospital_292,Mumbai,Private
293,Hospital_293,Mumbai,Private
294,Hospital_294,Hyderabad,Private
295,Hospital_295,Hyderabad,Private
296,Hospital_296,Kolkata,Public
297,Hospital_297,Ahmedabad,Private
298,Hospital_298,Kolkata,Public
299,Hospital_299,Pune,Public
300,Hospital_300,Chennai,Private
301,Hospital_301,Pune,Public
302,Hospital_302,Hyderabad,Private
303,Hospital_303,Ahmedabad,Private
304,Hospital_304,Pune,Private
305,Hospital_305,Delhi,Private
306,Hospital_306,Mumbai,Private
307,Hospital_307,Hyderabad,Private
308,Hospital_308,Chennai,Private
309,Hospital_309,Chennai,Private
310,Hospital_310,Delhi,Public
311,Hospital_311,Mumbai,Private
312,Hospital_312,Chennai,Private
313,Hospital_313,Kolkata,Private
314,Hospital_314,Ahmedabad,Private
315,Hospital_315,Bangalore,Public
316,Hospital_316,Ahmedabad,Public
317,Hospital_317,Hyderabad,Private
318,Hospital_318,Kolkata,Public
319,Hospital_319,Pune,Private
320,Hospital_320,Bangalore,Private
321,Hospital_321,Hyderabad,Private
322,Hospital_322,Bangalore,Private
323,Hospital_323,Bangalore,Public
324,Hospital_324,Bangalore,Private
325,Hospital_325,Hyderabad,Public
326,Hospital_326,Mumbai,Public
327,Hospital_327,Bangalore,Public
328,Hospital_328,Delhi,Private
329,Hospital_329,Pune,Private
330,Hospital_330,Kolkata,Private
331,Hospital_331,Pune,Public
332,Hospital_332,Bangalore,Private
333,Hospital_333,Delhi,Public
334,Hospital_334,Chennai,Private
335,Hospital_335,Hyderabad,Private
336,Hospital_336,Mumbai,Public
337,Hospital_337,Mumbai,Public
338,Hospital_338,Mumbai,Private
339,Hospital_339,Chennai,Public
340,Hospital_340,Mumbai,Public
341,Hospital_341,Hyderabad,Private
342,Hospital_342,Kolkata,Private
343,Hospital_343,Ahmedabad,Private
344,Hospital_344,Ahmedabad,Private
345,Hospital_345,Kolkata,Private
346,Hospital_346,Chennai,Private
347,Hospital_347,Mumbai,Private
348,Hospital_348,Chennai,Private
349,Hospital_349,Ahmedabad,Private
350,Hospital_350,Pune,Private
351,Hospital_351,Pune,Private
352,Hospital_352,Chennai,Private
353,Hospital_353,Delhi,Private
354,Hospital_354,Bangalore,Public
355,Hospital_355,Delhi,Private
356,Hospital_356,Bangalore,Public
357,Hospital_357,Kolkata,Private
358,Hospital_358,Mumbai,Public
359,Hospital_359,Chennai,Private
360,Hospital_360,Pune,Private
361,Hospital_361,Bangalore,Public
362,Hospital_362,Ahmedabad,Public
363,Hospital_363,Bangalore,Private
364,Hospital_364,Hyderabad,Public
365,Hospital_365,Bangalore,Public
366,Hospital_366,Chennai,Private
367,Hospital_367,Ahmedabad,Private
368,Hospital_368,Mumbai,Private
369,Hospital_369,Pune,Private
370,Hospital_370,Ahmedabad,Private
371,Hospital_371,Pune,Public
372,Hospital_372,Ahmedabad,Private
373,Hospital_373,Chennai,Public
374,Hospital_374,Ahmedabad,Private
375,Hospital_375,Delhi,Private
376,Hospital_376,Mumbai,Private
377,Hospital_377,Hyderabad,Public
378,Hospital_378,Pune,Private
379,Hospital_379,Mumbai,Public
380,Hospital_380,Pune,Private
381,Hospital_381,Delhi,Private
382,Hospital_382,Delhi,Private
383,Hospital_383,Pune,Private
384,Hospital_384,Kolkata,Private
385,Hospital_385,Kolkata,Private
386,Hospital_386,Kolkata,Private
387,Hospital_387,Ahmedabad,Public
388,Hospital_388,Pune,Public
389,Hospital_389,Delhi,Private
390,Hospital_390,Kolkata,Private
391,Hospital_391,Pune,Public
392,Hospital_392,Pune,Public
393,Hospital_393,Hyderabad,Public
394,Hospital_394,Mumbai,Private
395,Hospital_395,Ahmedabad,Private
396,Hospital_396,Chennai,Private
397,Hospital_397,Delhi,Private
398,Hospital_398,Bangalore,Public
399,Hospital_399,Bangalore,Public
400,Hospital_400,Kolkata,Private
401,Hospital_401,Ahmedabad,Public
402,Hospital_402,Pune,Private
403,Hospital_403,Mumbai,Private
404,Hospital_404,Chennai,Public
405,Hospital_405,Kolkata,Private
406,Hospital_406,Hyderabad,Private
407,Hospital_407,Kolkata,Private
408,Hospital_408,Mumbai,Private
409,Hospital_409,Pune,Private
410,Hospital_410,Bangalore,Public
411,Hospital_411,Ahmedabad,Private
412,Hospital_412,Mumbai,Private
413,Hospital_413,Hyderabad,Private
414,Hospital_414,Mumbai,Private
415,Hospital_415,Delhi,Private
416,Hospital_416,Hyderabad,Private
417,Hospital_417,Ahmedabad,Private
418,Hospital_418,Ahmedabad,Private
419,Hospital_419,Delhi,Private
420,Hospital_420,Kolkata,Private
421,Hospital_421,Hyderabad,Private
422,Hospital_422,Bangalore,Private
423,Hospital_423,Chennai,Private
424,Hospital_424,Kolkata,Private
425,Hospital_425,Kolkata,Private
426,Hospital_426,Delhi,Private
427,Hospital_427,Bangalore,Public
428,Hospital_428,Delhi,Public
429,Hospital_429,Mumbai,Private
430,Hospital_430,Hyderabad,Public
431,Hospital_431,Bangalore,Private
432,Hospital_432,Kolkata,Public
433,Hospital_433,Hyderabad,Private
434,Hospital_434,Chennai,Private
435,Hospital_435,Mumbai,Private
436,Hospital_436,Ahmedabad,Private
437,Hospital_437,Kolkata,Private
438,Hospital_438,Mumbai,Public
439,Hospital_439,Bangalore,Public
440,Hospital_440,Kolkata,Private
441,Hospital_441,Hyderabad,Public
442,Hospital_442,Bangalore,Public
443,Hospital_443,Kolkata,Public
444,Hospital_444,Hyderabad,Public
445,Hospital_445,Pune,Private
446,Hospital_446,Bangalore,Public
447,Hospital_447,Chennai,Private
448,Hospital_448,Ahmedabad,Private
449,Hospital_449,Mumbai,Private
450,Hospital_450,Hyderabad,Private
451,Hospital_451,Mumbai,Public
452,Hospital_452,Ahmedabad,Private
453,Hospital_453,Mumbai,Private
454,Hospital_454,Kolkata,Public
455,Hospital_455,Kolkata,Private
456,Hospital_456,Pune,Public
457,Hospital_457,Pune,Private
458,Hospital_458,Chennai,Private
459,Hospital_459,Kolkata,Private
460,Hospital_460,Pune,Public
461,Hospital_461,Delhi,Private
462,Hospital_462,Delhi,Public
463,Hospital_463,Bangalore,Public
464,Hospital_464,Kolkata,Private
465,Hospital_465,Bangalore,Public
466,Hospital_466,Ahmedabad,Private
467,Hospital_467,Pune,Private
468,Hospital_468,Pune,Private
469,Hospital_469,Delhi,Public
470,Hospital_470,Delhi,Public
471,Hospital_471,Mumbai,Private
472,Hospital_472,Pune,Private
473,Hospital_473,Hyderabad,Private
474,Hospital_474,Ahmedabad,Private
475,Hospital_475,Pune,Private
476,Hospital_476,Ahmedabad,Public
477,Hospital_477,Delhi,Private
478,Hospital_478,Pune,Private
479,Hospital_479,Kolkata,Private
480,Hospital_480,Bangalore,Private
481,Hospital_481,Kolkata,Private
482,Hospital_482,Bangalore,Public
483,Hospital_483,Hyderabad,Private
484,Hospital_484,Bangalore,Public
485,Hospital_485,Hyderabad,Private
486,Hospital_486,Mumbai,Private
487,Hospital_487,Hyderabad,Private
488,Hospital_488,Delhi,Public
489,Hospital_489,Mumbai,Public
490,Hospital_490,Pune,Private
491,Hospital_491,Bangalore,Public
492,Hospital_492,Pune,Public
493,Hospital_493,Ahmedabad,Private
494,Hospital_494,Ahmedabad,Private
495,Hospital_495,Pune,Private
496,Hospital_496,Kolkata,Private
497,Hospital_497,Hyderabad,Public
498,Hospital_498,Bangalore,Private
499,Hospital_499,Bangalore,Public
500,Hospital_500,Ahmedabad,Public
